#nodeID	final
MMP1	0.07205865541515141
HMGCR	0.07150756478114008
TLR4	0.07144730664205844
S100A4	0.07143290440526999
PTGS2	0.07143005440699764
VAV3	0.07142623838802935
CXCL2	0.07142544514143087
UBC	0.006229374210112953
MMP7	0.0021087506095831274
BCAN	0.0020436827712291667
TFPI	0.0019966946987744257
TNFSF11	0.001996241254397551
CD44	0.0019891009809644474
ACAN	0.0019787891888493276
CCL2	0.0019757167685879678
CCL7	0.001967653967480448
TIMP1	0.001961822481224491
CCL13	0.0019520565610110588
SERPINA3	0.001951657431226745
COL2A1	0.0019349133001279814
CMA1	0.0019332313947241187
IGFBP3	0.001933023295197603
SOX8	0.0019316638339918193
F2R	0.0019249058207359761
ITGA2	0.0019224832461577613
BSG	0.0019178203748090956
ELAVL1	0.0007354325849318885
UBB	0.00047296078028409105
UBL4A	0.0004550616141009188
ZFAND4	0.0004418967917573898
FAU	0.00044019859114266205
OAS1	0.00043901734159412266
ISG15	0.00043679905012079307
OASL	0.0004358088521534565
OAS2	0.00043553006736487203
OAS3	0.0004340919148677486
UBL4B	0.00043348748512620833
UBD	0.0004331768283347796
AP000769.1	0.0004331338564671103
UBBP4	0.0004331338564671103
NEDD8	0.00040340291641980503
MMP3	0.00039968137902057923
UBQLN1	0.0003867164460126288
PRKACA	0.0003759560422888822
UBQLN4	0.0003618472881517356
ACLY	0.00035859594503814325
SYVN1	0.00034911994010513686
RPS27A	0.00033506136493905044
UBA52	0.00033249276446551383
VCP	0.00033201401162054784
SIRT5	0.00033128692996217565
SIRT1	0.0003309168393824483
RAD23A	0.0003277328066215699
MAP1LC3A	0.0003274141120549047
RAD23B	0.0003213776155563175
SEL1L	0.0003201869162952888
UBE2G2	0.00031926963695127407
AUP1	0.0003155038300133113
SIRT7	0.0003133607828152495
ATAD2B	0.0003124004628504341
MAP1LC3B	0.00030995035118872954
UBQLN2	0.0003097060212798043
SPATA5	0.00030859128719821485
AMFR	0.0003070548204209079
SPATA5L1	0.0003057368483610989
IMPDH2	0.0003040902441603344
UBQLNL	0.00030361086618620203
GABARAPL1	0.0003018597619453028
RNF139	0.00030102937767929476
RAD51	0.00030089103481473645
GABARAP	0.00030049688891254435
FAF2	0.000299862521511745
SUCLG1	0.00029965243984982965
UFD1L	0.00029920531698720117
CHFR	0.00029838835702131195
FDFT1	0.00029813390475762246
XPO1	0.0002978982164806265
SQLE	0.0002975668479541573
LSS	0.00029745767930026995
AGMO	0.0002970742798314275
HMGB1	0.0002962412199000424
GABARAPL2	0.0002961889801733045
RNF145	0.000295157411061357
MSMO1	0.0002940709128502081
SIRT3	0.0002937415435063007
RNFT1	0.000293446003331266
SC5DL	0.00029332283625352774
DHCR7	0.0002931430019058092
TBP	0.0002927745719666685
RNFT2	0.00029242744752104805
HMGCS1	0.00029217882266740396
PISD	0.00029201585817871517
DMC1	0.0002920114984802573
ACAT1	0.0002917924462479383
GGPS1	0.0002916679435393702
RAD51D	0.00029079827602799483
HMGCS2	0.0002905600230642668
MAP1LC3C	0.00029051283164412226
RAD51B	0.00029045342814264957
CYP51A1	0.00029012646833222406
SIRT2	0.000289829685479415
RUSC1	0.00028953552407126273
FDPS	0.0002895153802039511
HADHB	0.00028902056564918783
FA2H	0.0002886484236837542
ACAA1	0.00028759194855100696
ACAA2	0.00028680606309063197
ACAT2	0.0002864896851219452
CH25H	0.00028642198532207716
C5orf4	0.00028636273433449
HAO1	0.00028496142783015767
ACSL4	0.00028403073020865846
PRKAG1	0.0002839452746886447
MVD	0.00028324662380145056
PRKAG3	0.00028315001256040624
ATAD2	0.00028253141263208067
PRKAG2	0.00028197395158600767
MARCH2	0.0002817144689256746
ACSL3	0.000281352023431652
HAO2	0.00028129794737573213
INSIG1	0.00028126024768595614
ACSBG2	0.0002812010529842938
IDI2	0.0002809331181235629
ACSL6	0.0002808847150209179
IDI1	0.0002808636748779216
ACSL1	0.0002806252523460978
MARCH3	0.0002804496805439218
RAD51L3-RFFL	0.000280412768674872
ACSL5	0.00028038004922582404
DNPEP	0.0002802258310823941
ACSBG1	0.0002801457919517802
MARCH8	0.0002798843943620332
PDSS2	0.0002792527388415493
MVK	0.0002789184039038455
MARCH1	0.0002787127753280544
MARCH4	0.00027868391011179203
PDSS1	0.0002786615477863326
INSIG2	0.00027862867072705506
MAP1LC3B2	0.0002786096961838806
MARCH9	0.00027848893572072765
YME1L1	0.00027830899563725814
PEMT	0.0002782430841252638
MARCH6	0.000278031912406636
HMGB2	0.00027798602311633147
GABARAPL3	0.00027758605797205296
MARCH7	0.0002773003728152774
SEL1L2	0.000276831045903288
MARCH10	0.0002764585359917773
MARCH11	0.0002757965928898096
ERLIN2	0.0002754699115084804
RABGGTB	0.0002752106766738789
DOLK	0.00027497254464005827
SPG7	0.00027495858556282556
SIRT6	0.00027494502029364287
BCS1L	0.0002743538190574663
AFG3L2	0.0002740604580736834
IMPDH1	0.0002734392148752266
